,IPO_DATE,DELIST_DATE
001696.SZ,1997-03-06,1899-12-30
001872.SZ,1993-05-05,1899-12-30
001896.SZ,1998-01-22,1899-12-30
001914.SZ,1994-09-28,1899-12-30
001965.SZ,2017-12-25,1899-12-30
001979.SZ,2015-12-30,1899-12-30
002001.SZ,2004-06-25,1899-12-30
002002.SZ,2004-06-25,1899-12-30
002003.SZ,2004-06-25,1899-12-30
002004.SZ,2004-06-25,1899-12-30
002005.SZ,2004-06-25,1899-12-30
002006.SZ,2004-06-25,1899-12-30
002007.SZ,2004-06-25,1899-12-30
002008.SZ,2004-06-25,1899-12-30
002009.SZ,2004-06-29,1899-12-30
002010.SZ,2004-06-29,1899-12-30
002011.SZ,2004-07-05,1899-12-30
002012.SZ,2004-07-05,1899-12-30
002013.SZ,2004-07-05,1899-12-30
002014.SZ,2004-07-08,1899-12-30
002015.SZ,2004-07-08,1899-12-30
002016.SZ,2004-07-08,1899-12-30
002017.SZ,2004-07-13,1899-12-30
002018.SZ,2004-07-13,2019-11-01
002019.SZ,2004-07-13,1899-12-30
002020.SZ,2004-07-15,1899-12-30
002021.SZ,2004-07-15,1899-12-30
002022.SZ,2004-07-21,1899-12-30
002023.SZ,2004-07-21,1899-12-30
002024.SZ,2004-07-21,1899-12-30
002025.SZ,2004-07-26,1899-12-30
002026.SZ,2004-07-27,1899-12-30
002027.SZ,2004-08-04,1899-12-30
002028.SZ,2004-08-05,1899-12-30
002029.SZ,2004-08-06,1899-12-30
002030.SZ,2004-08-09,1899-12-30
002031.SZ,2004-08-16,1899-12-30
002032.SZ,2004-08-17,1899-12-30
002033.SZ,2004-08-25,1899-12-30
002034.SZ,2004-08-26,1899-12-30
002035.SZ,2004-09-01,1899-12-30
002036.SZ,2004-09-03,1899-12-30
002037.SZ,2004-09-08,1899-12-30
002038.SZ,2004-09-09,1899-12-30
002039.SZ,2005-03-03,1899-12-30
002040.SZ,2005-03-25,1899-12-30
002041.SZ,2005-04-18,1899-12-30
002042.SZ,2005-04-27,1899-12-30
002043.SZ,2005-05-10,1899-12-30
002044.SZ,2005-05-18,1899-12-30
002045.SZ,2005-05-23,1899-12-30
002046.SZ,2005-05-26,1899-12-30
002047.SZ,2005-05-31,1899-12-30
002048.SZ,2005-06-03,1899-12-30
002049.SZ,2005-06-06,1899-12-30
002050.SZ,2005-06-07,1899-12-30
002051.SZ,2006-06-19,1899-12-30
002052.SZ,2006-06-27,1899-12-30
002053.SZ,2006-06-27,1899-12-30
002054.SZ,2006-07-25,1899-12-30
002055.SZ,2006-07-25,1899-12-30
002056.SZ,2006-08-02,1899-12-30
002057.SZ,2006-08-02,1899-12-30
002058.SZ,2006-08-02,1899-12-30
002059.SZ,2006-08-10,1899-12-30
002060.SZ,2006-08-10,1899-12-30
002061.SZ,2006-08-16,1899-12-30
002062.SZ,2006-08-16,1899-12-30
002063.SZ,2006-08-23,1899-12-30
002064.SZ,2006-08-23,1899-12-30
002065.SZ,2006-08-23,1899-12-30
002066.SZ,2006-08-23,1899-12-30
002067.SZ,2006-09-15,1899-12-30
002068.SZ,2006-09-15,1899-12-30
002069.SZ,2006-09-28,1899-12-30
002070.SZ,2006-10-12,2019-07-09
002071.SZ,2006-10-12,1899-12-30
002072.SZ,2006-10-18,1899-12-30
002073.SZ,2006-10-18,1899-12-30
002074.SZ,2006-10-18,1899-12-30
002075.SZ,2006-10-25,1899-12-30
002076.SZ,2006-10-25,1899-12-30
002077.SZ,2006-11-16,1899-12-30
002078.SZ,2006-11-16,1899-12-30
002079.SZ,2006-11-16,1899-12-30
002080.SZ,2006-11-20,1899-12-30
002081.SZ,2006-11-20,1899-12-30
002082.SZ,2006-11-20,1899-12-30
002083.SZ,2006-11-24,1899-12-30
002084.SZ,2006-11-24,1899-12-30
002085.SZ,2006-11-28,1899-12-30
002086.SZ,2006-11-28,1899-12-30
002087.SZ,2006-11-30,1899-12-30
002088.SZ,2006-11-30,1899-12-30
002089.SZ,2006-11-30,1899-12-30
002090.SZ,2006-12-08,1899-12-30
002091.SZ,2006-12-08,1899-12-30
002092.SZ,2006-12-08,1899-12-30
002093.SZ,2006-12-15,1899-12-30
002094.SZ,2006-12-15,1899-12-30
002095.SZ,2006-12-15,1899-12-30
002096.SZ,2006-12-22,1899-12-30
002097.SZ,2006-12-22,1899-12-30
002098.SZ,2006-12-22,1899-12-30
002099.SZ,2006-12-26,1899-12-30
002100.SZ,2006-12-26,1899-12-30
002101.SZ,2006-12-29,1899-12-30
002102.SZ,2006-12-29,1899-12-30
002103.SZ,2007-01-10,1899-12-30
002104.SZ,2007-01-10,1899-12-30
002105.SZ,2007-01-12,1899-12-30
002106.SZ,2007-01-12,1899-12-30
002107.SZ,2007-01-24,1899-12-30
002108.SZ,2007-01-24,1899-12-30
002109.SZ,2007-01-26,1899-12-30
002110.SZ,2007-01-26,1899-12-30
002111.SZ,2007-01-26,1899-12-30
002112.SZ,2007-02-08,1899-12-30
002113.SZ,2007-02-08,1899-12-30
002114.SZ,2007-02-15,1899-12-30
002115.SZ,2007-02-15,1899-12-30
002116.SZ,2007-02-15,1899-12-30
002117.SZ,2007-03-02,1899-12-30
002118.SZ,2007-03-02,1899-12-30
002119.SZ,2007-03-02,1899-12-30
002120.SZ,2007-03-06,1899-12-30
002121.SZ,2007-03-06,1899-12-30
002122.SZ,2007-03-28,1899-12-30
002123.SZ,2007-03-28,1899-12-30
002124.SZ,2007-04-03,1899-12-30
002125.SZ,2007-04-03,1899-12-30
002126.SZ,2007-04-18,1899-12-30
002127.SZ,2007-04-18,1899-12-30
002128.SZ,2007-04-18,1899-12-30
002129.SZ,2007-04-20,1899-12-30
002130.SZ,2007-04-20,1899-12-30
002131.SZ,2007-04-27,1899-12-30
002132.SZ,2007-04-27,1899-12-30
002133.SZ,2007-04-27,1899-12-30
002134.SZ,2007-05-16,1899-12-30
002135.SZ,2007-05-30,1899-12-30
002136.SZ,2007-05-30,1899-12-30
002137.SZ,2007-06-13,1899-12-30
002138.SZ,2007-06-13,1899-12-30
002139.SZ,2007-06-29,1899-12-30
002140.SZ,2007-07-12,1899-12-30
002141.SZ,2007-07-20,1899-12-30
002142.SZ,2007-07-19,1899-12-30
002143.SZ,2007-07-20,2019-11-29
002144.SZ,2007-08-03,1899-12-30
002145.SZ,2007-08-03,1899-12-30
002146.SZ,2007-08-08,1899-12-30
002147.SZ,2007-08-08,1899-12-30
002148.SZ,2007-08-10,1899-12-30
002149.SZ,2007-08-10,1899-12-30
002150.SZ,2007-08-10,1899-12-30
002151.SZ,2007-08-13,1899-12-30
002152.SZ,2007-08-13,1899-12-30
002153.SZ,2007-08-13,1899-12-30
002154.SZ,2007-08-16,1899-12-30
002155.SZ,2007-08-16,1899-12-30
002156.SZ,2007-08-16,1899-12-30
002157.SZ,2007-08-17,1899-12-30
002158.SZ,2007-08-17,1899-12-30
002159.SZ,2007-08-17,1899-12-30
002160.SZ,2007-08-21,1899-12-30
002161.SZ,2007-08-21,1899-12-30
002162.SZ,2007-08-23,1899-12-30
002163.SZ,2007-08-23,1899-12-30
002164.SZ,2007-08-23,1899-12-30
002165.SZ,2007-09-13,1899-12-30
002166.SZ,2007-09-13,1899-12-30
002167.SZ,2007-09-13,1899-12-30
002168.SZ,2007-09-19,1899-12-30
002169.SZ,2007-09-19,1899-12-30
002170.SZ,2007-09-19,1899-12-30
002171.SZ,2007-09-21,1899-12-30
002172.SZ,2007-09-21,1899-12-30
002173.SZ,2007-09-25,1899-12-30
002174.SZ,2007-09-25,1899-12-30
002175.SZ,2007-10-12,1899-12-30
002176.SZ,2007-10-12,1899-12-30
002177.SZ,2007-11-01,1899-12-30
002178.SZ,2007-11-01,1899-12-30
002179.SZ,2007-11-01,1899-12-30
002180.SZ,2007-11-13,1899-12-30
002181.SZ,2007-11-16,1899-12-30
002182.SZ,2007-11-13,1899-12-30
002183.SZ,2007-11-13,1899-12-30
002184.SZ,2007-11-16,1899-12-30
002185.SZ,2007-11-20,1899-12-30
002186.SZ,2007-11-20,1899-12-30
002187.SZ,2007-11-22,1899-12-30
002188.SZ,2007-11-22,1899-12-30
002189.SZ,2007-12-03,1899-12-30
002190.SZ,2007-12-03,1899-12-30
002191.SZ,2007-12-05,1899-12-30
002192.SZ,2007-12-05,1899-12-30
002193.SZ,2007-12-07,1899-12-30
002194.SZ,2007-12-07,1899-12-30
